70,67,61,56,66,63,66,69,59,53,63,57,65,62,54,48,47,46,48,46,47,47,65,56,52,50,65,58,54,68,67,56,66,56,66,56,52,66,56,50,49,48,47,65
54,75,72,75,64,75,69,63,60,58,54,57,53,50,66,58,53,55,71,70,70,60,70,70,60,69,59,56,70,70,59,68,60,70,70,70,70,60,70,58,54,53,52,69
52,67,65,53,48,49,51,48,61,55,54,64,63,51,50,50,52,66,68,58,68,58,70,60,70,59,55,55,70,60,55,53,52,51,50,50,68,68,58,52,51,50,49,67
52,55,70,60,59,60,57,54,52,66,63,52,59,47,44,43,42,41,58,50,60,63,53,50,64,53,63,54,54,53,51,49,48,48,48,66,56,52,66,64,54,64,65,65
47,49,52,50,53,50,53,57,54,52,49,47,46,44,60,59,49,49,63,52,48,49,65,55,51,50,49,49,50,50,67,56,52,51,66,56,66,56,66,54,50,49,65,65
47,67,65,54,61,50,44,55,44,50,40,48,40,50,50,50,51,41,51,40,37,51,41,38,39,37,53,47,45,47,62,52,49,50,49,48,65,55,65,54,50,49,48,65
49,53,69,72,61,55,66,60,53,50,62,59,53,46,46,61,61,51,48,61,51,50,50,50,48,49,50,51,52,72,61,56,55,54,70,60,56,70,60,54,68,58,54,53
52,55,58,61,64,61,59,75,69,75,71,65,61,63,76,73,61,60,56,54,70,60,56,55,70,69,69,60,56,55,69,68,58,54,53,52,51,68,58,66,56,52,51,67
52,49,52,50,71,60,53,55,52,64,58,58,69,66,58,71,58,58,56,68,58,54,53,52,68,57,53,68,58,54,67,56,66,66,66,66,56,52,66,64,54,64,54,50
52,55,70,59,53,63,53,47,49,66,54,49,60,53,51,48,63,56,66,65,55,67,67,57,54,67,67,58,54,68,57,66,56,52,51,50,49,48,48,46,46,45,45,65
52,49,52,50,47,44,60,49,57,54,43,42,39,41,60,52,49,63,53,49,48,47,47,48,66,66,56,54,53,68,57,52,66,56,52,51,50,49,48,64,64,64,54,52
52,49,52,68,66,69,66,55,48,45,57,54,42,41,41,40,56,47,45,58,49,48,47,48,65,65,65,58,54,53,67,58,54,53,68,58,54,68,58,52,51,50,67,67
52,67,57,69,63,56,52,54,52,54,57,71,59,66,54,61,61,51,61,53,63,54,52,68,58,53,67,58,54,53,51,66,66,66,56,52,66,56,52,49,48,64,54,50
52,55,70,64,63,73,71,60,59,56,67,61,68,60,67,55,63,53,64,53,52,65,65,56,66,55,67,58,54,68,57,52,51,66,66,66,56,52,66,64,54,50,65,54
52,67,61,68,57,56,58,70,59,53,63,52,59,47,59,49,45,59,59,58,51,61,52,48,50,51,69,70,60,56,54,52,51,50,50,50,68,58,54,66,56,66,56,52
52,73,63,70,68,62,68,57,51,48,46,48,45,60,53,62,53,49,51,49,68,67,67,60,56,69,69,60,70,60,55,53,52,51,68,58,54,53,52,66,66,56,52,51
52,67,61,60,71,68,62,61,71,69,58,51,53,50,51,65,63,56,66,65,55,50,52,51,51,49,49,50,68,58,67,66,56,52,51,66,66,66,56,50,49,48,47,46
52,67,61,69,58,57,53,51,64,67,64,62,50,43,42,44,44,43,44,43,44,43,44,44,44,62,53,64,64,64,55,50,49,50,49,48,48,66,56,50,64,54,50,49
52,67,61,73,71,64,58,68,62,61,58,59,72,69,64,58,55,53,69,59,55,68,60,70,60,69,59,56,55,54,52,50,50,50,50,68,58,54,53,66,56,66,56,67
52,55,76,64,63,65,61,74,63,57,55,66,65,52,46,47,47,49,49,49,67,58,68,58,54,52,51,51,68,58,53,51,50,66,56,52,66,56,52,49,64,54,50,65
